Comarca,Any,Preu mitjà lloguer,RFDB (milers d'euros),RFDB per habitant (milers d'euros),Índex Catalunya=100 per habitant,RFDB per habitant - Mensual
Tarragonès,2009,520.840685789434,4353872,17900.0,102.8,1491.67
Solsonès,2009,361.7152775280898,236822,17300.0,99.0,1441.67
Selva,2009,489.9560566178613,2634068,16100.000000000002,92.5,1341.67
Segrià,2009,429.17933328452193,3624364,18100.0,103.6,1508.33
Vallès Oriental,2009,614.3026222926358,6302188,16200.0,92.8,1350.0
Ribera d'Ebre,2009,378.9137398243802,420384,18200.0,104.2,1516.67
Segarra,2009,406.0961654545455,392484,17300.0,99.4,1441.67
Osona,2009,481.40034730785226,2465648,16200.0,93.0,1350.0
Pallars Jussà,2009,340.68237454545454,253579,19300.0,110.4,1608.33
Noguera,2009,362.5674982758621,677828,17400.0,100.0,1450.0
Pla de l'Estany,2009,535.674908682453,554549,18500.0,106.1,1541.67
Pla d'Urgell,2009,388.2295834170855,620529,17000.0,97.6,1416.67
Priorat,2009,375.6714370273794,178581,18200.0,104.5,1516.67
Pallars Sobirà,2009,449.27273333333335,139524,18700.0,107.5,1558.33
Garrigues,2010,389.2916088734568,265873,13200.0,78.6,1100.0
Baix Penedès,2010,488.5591622792627,1403851,14100.0,84.0,1175.0
Garraf,2010,623.5366747122894,2382760,16600.0,98.7,1383.33
Conca de Barberà,2010,385.2838976398601,307526,14500.0,86.5,1208.33
Cerdanya,2010,527.0962662068966,261182,14200.0,84.4,1183.33
Berguedà,2010,356.66512251034385,648885,15600.0,93.1,1300.0
Barcelonès,2010,733.1242329644235,42648230,19100.0,113.5,1591.67
Baix Empordà,2010,502.5689284447035,1847052,14000.0,83.6,1166.67
Alta Ribagorça,2010,395.51214285714286,64835,15300.0,91.1,1275.0
Bages,2010,416.7106414209096,2795609,15900.0,94.6,1325.0
Anoia,2010,425.6138958474576,1749742,14800.0,88.3,1233.33
Alt Urgell,2010,405.2961540192926,285574,13200.0,78.6,1100.0
Alt Penedès,2010,487.14051416197645,1716074,16400.0,97.5,1366.67
Alt Empordà,2010,472.9819878992996,1800807,13000.0,77.6,1083.33
Alt Camp,2010,430.0093433311868,652392,14500.0,86.5,1208.33
Garrotxa,2010,397.7370641900122,859836,15600.0,92.7,1300.0
Baix Ebre,2010,362.1805869379015,1065257,13000.0,77.7,1083.33
Gironès,2010,535.275243878019,2892356,16000.0,95.3,1333.33
