Comarca,RFDB (milers d'euros),RFDB per habitant (milers d'euros),Índex Catalunya=100 per habitant,Any
Garrotxa,859836,15.6,92.7,2010
Gironès,2892356,16.0,95.3,2010
Maresme,7235391,16.8,100.0,2010
Moianès,207409,16.1,95.8,2010
Montsià,850568,11.9,71.0,2010
Noguera,517669,13.0,77.5,2010
Osona,2398948,15.7,93.4,2010
Pallars Jussà,200570,14.3,85.3,2010
Pallars Sobirà,104774,14.0,83.3,2010
Pla d'Urgell,508964,13.8,82.0,2010
Pla de l'Estany,479637,15.6,92.8,2010
Priorat,132163,13.2,78.9,2010
Ribera d'Ebre,333581,14.2,84.6,2010
Ripollès,423287,16.0,95.4,2010
Segarra,319745,13.9,82.7,2010
Segrià,3085141,15.0,89.6,2010
Selva,2212387,13.1,78.0,2010
Solsonès,187025,13.6,80.9,2010
Tarragonès,3756115,15.3,91.5,2010
Terra Alta,161318,12.7,75.7,2010
Urgell,505024,13.6,81.1,2010
Vallès Occidental,15218534,17.2,102.3,2010
Vallès Oriental,6467002,16.5,98.1,2010
Alt Camp,653517,14.5,87.2,2011
Alt Empordà,1746263,12.6,75.6,2011
Alt Penedès,1708519,16.2,97.1,2011
Alt Urgell,279180,13.1,78.3,2011
Alta Ribagorça,61003,14.5,87.1,2011
Anoia,1767476,14.9,89.6,2011
Aran,136749,13.6,81.5,2011
Bages,2848845,16.1,96.8,2011
Baix Camp,2722478,14.2,85.3,2011
Baix Ebre,1022158,12.5,75.1,2011
Baix Empordà,1810666,13.7,82.3,2011
Baix Llobregat,13831149,17.3,103.7,2011
Baix Penedès,1396048,13.9,83.4,2011
Barcelonès,42526383,19.0,114.0,2011
Berguedà,660022,16.0,95.9,2011
Cerdanya,255267,13.6,81.9,2011
Conca de Barberà,303210,14.4,86.3,2011
Garraf,2349624,16.2,97.3,2011
Garrigues,262835,13.1,78.5,2011
Garrotxa,873891,15.8,94.7,2011
Gironès,2822581,15.5,93.1,2011
Maresme,7156159,16.5,99.0,2011
Moianès,206144,15.9,95.4,2011
Montsià,829905,11.6,69.9,2011
Noguera,513819,12.9,77.3,2011
Osona,2412377,15.7,94.3,2011
Pallars Jussà,196533,13.9,83.5,2011
Pallars Sobirà,100917,13.6,81.9,2011
Pla d'Urgell,500466,13.5,81.2,2011
Pla de l'Estany,486785,15.6,93.7,2011
Priorat,128156,12.9,77.4,2011
Ribera d'Ebre,335375,14.4,86.2,2011
Ripollès,426325,16.2,97.4,2011
Segarra,318336,13.7,82.4,2011
Segrià,3017490,14.6,87.6,2011
Selva,2230110,13.1,78.7,2011
Solsonès,187022,13.6,81.8,2011
Tarragonès,3639678,14.6,87.7,2011
Terra Alta,157628,12.5,75.2,2011
Urgell,496787,13.4,80.7,2011
Vallès Occidental,15264529,17.1,102.6,2011
Vallès Oriental,6490704,16.4,98.4,2011
Alt Camp,625839,14.0,88.1,2012
Alt Empordà,1663163,12.0,75.8,2012
Alt Penedès,1628974,15.4,97.3,2012
Alt Urgell,265155,12.6,79.6,2012
Alta Ribagorça,59262,14.4,91.2,2012
Anoia,1695834,14.3,90.6,2012
