Comarca,Any,Preu mitjà lloguer
Noguera,2016,295.70490109890113
Osona,2016,420.1828800000002
Pallars Jussà,2016,289.7914285714286
Pallars Sobirà,2016,319.2857142857143
Pla de l'Estany,2016,437.23255186721985
Pla d'Urgell,2016,329.9561941747573
Priorat,2016,351.1796590909091
Ribera d'Ebre,2016,308.3167407407407
Ripollès,2016,336.92408219178077
Segarra,2016,313.06342261904757
Segrià,2016,385.7287660910518
Selva,2016,430.2867508794371
Solsonès,2016,275.8178846153846
Tarragonès,2016,443.2031783439491
Terra Alta,2016,262.0
Urgell,2016,301.114896073903
Val d'Aran,2016,533.2533333333333
Vallès Occidental,2016,583.4331191265895
Vallès Oriental,2016,548.3931620111733
Alt Camp,2015,376.6279
Alt Empordà,2015,440.1105
Alt Penedès,2015,422.534
Alt Urgell,2015,360.0612
Alta Ribagorça,2015,342.75
Anoia,2015,380.1878
Bages,2015,350.9439
Baix  Camp,2015,397.3815
Baix Ebre,2015,310.1987
Baix Empordà,2015,445.0764
Baix Llobregat,2015,619.2399
Baix Penedès,2015,415.7248
Barcelonès,2015,691.5476
Berguedà,2015,311.823
Cerdanya,2015,445.2585
Conca de Barberà,2015,314.9582
Garraf,2015,603.1893
Garrigues,2015,309.7958
Garrotxa,2015,360.1043
Gironès,2015,468.1253
Maresme,2015,566.0426
Moianès,2015,411.6355
Montsià,2015,270.1333
Noguera,2015,293.3527
Osona,2015,406.2534
Pallars Jussà,2015,254.4039
Pallars Sobirà,2015,307.1855
Pla de l'Estany,2015,424.7677
Pla d'Urgell,2015,325.0374
Priorat,2015,348.8026
Ribera d'Ebre,2015,296.6255
Ripollès,2015,327.8564
Segarra,2015,308.3765
Segrià,2015,379.3103
Selva,2015,418.3616
Solsonès,2015,285.0538
Tarragonès,2015,430.7248
Terra Alta,2015,247.49
Urgell,2015,298.8276
Val d'Aran,2015,534.9056
Vallès Occidental,2015,545.7987
Vallès Oriental,2015,512.8529
Alt Camp,2014,374.3318
Alt Empordà,2014,434.0323
Alt Penedès,2014,417.016
Alt Urgell,2014,351.9853
Alta Ribagorça,2014,299.5238
Anoia,2014,361.5316
Bages,2014,348.278
Baix  Camp,2014,388.1687
Baix Ebre,2014,315.4418
Baix Empordà,2014,429.2316
Baix Llobregat,2014,592.6884
Baix Penedès,2014,404.5753
Barcelonès,2014,649.082
Berguedà,2014,305.201
Cerdanya,2014,471.8116
Conca de Barberà,2014,332.8395
Garraf,2014,587.4356
Garrigues,2014,309.4525
Garrotxa,2014,357.5302
Gironès,2014,454.8914
Maresme,2014,549.2821
Moianès,2014,381.8667
Montsià,2014,259.6006
Noguera,2014,296.8701
Osona,2014,399.9214
Pallars Jussà,2014,267.0632
Pallars Sobirà,2014,315.1391
Pla de l'Estany,2014,404.7688
Pla d'Urgell,2014,316.8474
Priorat,2014,359.1212
Ribera d'Ebre,2014,293.4148
Ripollès,2014,335.9494
Segarra,2014,300.2841
Segrià,2014,369.7719
Selva,2014,421.1678
Solsonès,2014,290.5116
Tarragonès,2014,426.7153
Terra Alta,2014,222.6472
Urgell,2014,306.3997
Val d'Aran,2014,510.844
Vallès Occidental,2014,526.5147
Vallès Oriental,2014,500.0286
Alt Camp,2013,365.05041276595745
Alt Empordà,2013,433.3152964992392
Alt Penedès,2013,414.04186320371423
Alt Urgell,2013,361.67710315186264
Alta Ribagorça,2013,337.68251249999986
Anoia,2013,376.5802965186075
Bages,2013,355.9149051109237
Baix  Camp,2013,397.2783535803845
Baix Ebre,2013,320.01062493297576
Baix Empordà,2013,453.2233106305369
Baix Llobregat,2013,591.4098735696161
Baix Penedès,2013,415.35175439330555
Barcelonès,2013,647.39793623947
Berguedà,2013,319.16753090909066
Cerdanya,2013,455.9775634615385
Conca de Barberà,2013,328.15438349056615
Garraf,2013,590.3394739767178
Garrigues,2013,290.51011229050283
Garrotxa,2013,355.65468405063285
Gironès,2013,460.72286337184414
Maresme,2013,552.8224447415155
Montsià,2013,292.01757030411443
Noguera,2013,298.39793359374994
Osona,2013,407.6057352553544
Pallars Jussà,2013,307.6637034482759
Pallars Sobirà,2013,335.3844758620689
Pla de l'Estany,2013,409.19391708253374
Pla d'Urgell,2013,314.4125165975101
Priorat,2013,350.7171641791043
Ribera d'Ebre,2013,310.2936213114753
Ripollès,2013,347.8323645367411
Segarra,2013,312.3944968085106
Segrià,2013,375.29659147909985
Selva,2013,422.5844793090638
Solsonès,2013,297.08356813186793
Tarragonès,2013,433.76765474544317
Terra Alta,2013,251.7238613636364
Urgell,2013,311.79195283446717
Val d'Aran,2013,471.789215909091
Vallès Occidental,2013,531.1886381664176
Vallès Oriental,2013,509.5867642434733
Alt Camp,2012,388.53762902208183
Alt Empordà,2012,447.2279805035308
Alt Penedès,2012,439.19383262370525
Alt Urgell,2012,382.6423347107439
Alta Ribagorça,2012,350.2272681818182
Anoia,2012,391.33096500672934
Bages,2012,378.0590593080724
Baix  Camp,2012,417.5971435307017
Baix Ebre,2012,339.77424306220104
Baix Empordà,2012,474.87492446682455
Baix Llobregat,2012,619.2263508395265
Baix Penedès,2012,451.00762398496244
Barcelonès,2012,688.8640024476543
Berguedà,2012,343.4344829977627
Cerdanya,2012,534.5060711055276
Conca de Barberà,2012,351.97940159574455
Garraf,2012,618.7925250519318
Garrigues,2012,345.1858353982302
Garrotxa,2012,376.8355483333335
Gironès,2012,484.69308575268803
Maresme,2012,579.9189099352534
Montsià,2012,316.086711299435
Noguera,2012,320.26756442577033
Osona,2012,421.9117752600778
Pallars Jussà,2012,311.6567593220338
Pallars Sobirà,2012,366.2433130434784
Pla de l'Estany,2012,439.6295904051173
Pla d'Urgell,2012,350.7367210412147
Priorat,2012,378.18210704225356
Ribera d'Ebre,2012,306.65826834532373
Ripollès,2012,345.2435401960787
Segarra,2012,339.0916344947737
Segrià,2012,393.21184382509995
Selva,2012,441.1101510773129
Solsonès,2012,321.9714753086419
Tarragonès,2012,462.58658609096886
Terra Alta,2012,306.7712769230767
Urgell,2012,342.3596624697337
Val d'Aran,2012,486.70031122448995
Vallès Occidental,2012,564.7223370776802
Vallès Oriental,2012,537.6255560019518
Alt Camp,2011,403.41151057046983
Alt Empordà,2011,465.8340140204865
Alt Penedès,2011,466.50889273709487
Alt Urgell,2011,394.68932874251493
Alta Ribagorça,2011,369.99998695652175
Anoia,2011,420.9670583512545
Bages,2011,397.03332033603715
Baix  Camp,2011,447.75794964458345
Baix Ebre,2011,364.98380068359376
Baix Empordà,2011,484.7928230571613
Baix Llobregat,2011,653.0393982621596
Baix Penedès,2011,465.7216499174917
Barcelonès,2011,721.6504722611946
Berguedà,2011,360.7067155319149
Cerdanya,2011,529.1906111731844
Conca de Barberà,2011,373.7484878612717
Garraf,2011,638.7898545332738
Garrigues,2011,345.7780878787879
Garrotxa,2011,394.68878358778625
Gironès,2011,516.0656110268949
Maresme,2011,609.4930747186352
Montsià,2011,345.3635006237006
Noguera,2011,336.5636795620438
Osona,2011,443.90389927285315
Pallars Jussà,2011,319.3397261261261
Pallars Sobirà,2011,385.15916250000004
Pla de l'Estany,2011,470.00890175
Pla d'Urgell,2011,373.85417950819675
Priorat,2011,347.4344775862069
Ribera d'Ebre,2011,342.9878124087591
Ripollès,2011,384.5440054393306
Segarra,2011,334.2826321428571
Segrià,2011,404.37061259968107
Selva,2011,464.35240636363636
Solsonès,2011,333.84243435582823
Tarragonès,2011,489.9723175135135
Terra Alta,2011,311.9409348837209
Urgell,2011,351.2287946902655
Val d'Aran,2011,548.1313568181818
Vallès Occidental,2011,592.2266932888793
Vallès Oriental,2011,558.8689376173912
Alt Camp,2010,430.0093433311868
Alt Empordà,2010,472.9819878992996
Alt Penedès,2010,487.14051416197645
Alt Urgell,2010,405.2961540192926
Alta Ribagorça,2010,395.51214285714286
Anoia,2010,425.61389584745757
Bages,2010,416.7106414209096
Baix  Camp,2010,457.8292330369758
Baix Ebre,2010,362.18058693790147
Baix Empordà,2010,502.5689284447035
Baix Llobregat,2010,667.8519422460969
Baix Penedès,2010,488.5591622792627
Barcelonès,2010,733.1242329644235
Berguedà,2010,356.66512251034385
Cerdanya,2010,527.0962662068966
Conca de Barberà,2010,385.28389763986013
Garraf,2010,623.5366747122894
Garrigues,2010,389.29160887345677
Garrotxa,2010,397.7370641900122
